datetime,open,high,low,close,volume
2023-06-30 00:00:00,169.7,174.0,167.84,172.74,800818
2023-07-03 00:00:00,173.0,177.7,173.0,175.98,844715
2023-07-04 00:00:00,176.1,177.5,174.1,175.56,705549
2023-07-05 00:00:00,175.9,179.84,175.68,179.12,558106
2023-07-06 00:00:00,179.52,182.38,176.7,178.2,823747
2023-07-07 00:00:00,177.9,181.92,176.66,181.34,653164
2023-07-10 00:00:00,182.4,182.6,180.0,181.76,611083
2023-07-11 00:00:00,181.02,182.16,180.28,181.22,276316
2023-07-12 00:00:00,181.28,185.24,181.0,184.38,641908
2023-07-13 00:00:00,184.98,187.68,183.8,185.26,436722
2023-07-14 00:00:00,184.88,193.5,183.8,193.5,1041878
2023-07-17 00:00:00,191.98,196.0,190.3,194.0,914169
2023-07-18 00:00:00,193.86,196.48,190.62,192.92,1092191
2023-07-19 00:00:00,193.2,193.24,190.8,192.28,337867
2023-07-20 00:00:00,192.0,193.74,189.66,190.28,600291
2023-07-21 00:00:00,190.28,192.38,189.0,192.3,373369
2023-07-24 00:00:00,192.3,193.66,190.64,192.06,325200
2023-07-25 00:00:00,192.3,198.08,191.42,197.32,653929
2023-07-26 00:00:00,197.5,197.82,194.4,196.14,440580
2023-07-27 00:00:00,196.44,206.42,195.0,203.36,1488717
2023-07-28 00:00:00,202.78,205.4,202.12,204.44,549287
2023-07-31 00:00:00,205.3,212.0,205.1,211.44,777320
2023-08-01 00:00:00,212.04,214.98,209.4,212.0,728513
2023-08-02 00:00:00,211.36,213.66,209.02,210.56,590462
2023-08-03 00:00:00,210.4,213.5,209.2,212.52,526218
2023-08-04 00:00:00,213.42,213.42,206.2,206.64,969631
2023-08-07 00:00:00,208.0,210.0,200.16,202.36,819493
2023-08-08 00:00:00,201.58,202.84,198.52,202.22,711130
2023-08-09 00:00:00,202.88,206.5,201.94,202.5,589666
2023-08-10 00:00:00,203.02,205.54,200.26,205.3,427579
2023-08-11 00:00:00,205.5,207.78,201.82,203.94,487240
2023-08-14 00:00:00,204.3,207.1,195.18,197.16,1041036
2023-08-15 00:00:00,196.5,203.18,195.42,197.14,744936
2023-08-16 00:00:00,196.6,198.14,188.14,191.1,1257756
2023-08-17 00:00:00,191.56,193.44,188.02,191.04,619505
2023-08-18 00:00:00,191.4,194.62,189.0,194.38,518303
2023-08-21 00:00:00,195.0,197.84,194.44,197.24,682309
2023-08-22 00:00:00,197.82,200.0,194.8,198.6,503108
2023-08-23 00:00:00,199.0,203.0,193.04,193.8,1598144
2023-08-24 00:00:00,194.38,197.58,194.18,196.4,749434
2023-08-25 00:00:00,196.4,197.08,194.34,195.5,464878
2023-08-28 00:00:00,195.96,201.64,195.96,201.3,654555
2023-08-29 00:00:00,201.7,202.84,197.42,197.9,823539
2023-08-30 00:00:00,197.9,201.38,195.64,199.6,680548
2023-08-31 00:00:00,200.18,204.48,197.68,204.3,878337
2023-09-01 00:00:00,204.58,205.0,200.56,202.0,487832
2023-09-04 00:00:00,203.12,204.24,201.12,202.64,453795
2023-09-05 00:00:00,203.46,203.46,197.86,199.26,813788
2023-09-06 00:00:00,199.0,199.0,192.0,193.26,1086650
2023-09-07 00:00:00,193.26,197.88,190.28,191.58,1079051
2023-09-08 00:00:00,191.7,193.52,187.0,187.1,737266
2023-09-11 00:00:00,187.0,190.06,184.44,188.86,918674
2023-09-12 00:00:00,189.5,195.28,189.36,195.28,464119
2023-09-13 00:00:00,195.0,195.32,190.08,190.48,409888
2023-09-14 00:00:00,190.6,192.9,186.02,192.08,560743
2023-09-15 00:00:00,192.4,194.56,190.1,192.6,351821
2023-09-18 00:00:00,192.6,193.64,188.3,190.36,458707
2023-09-19 00:00:00,189.8,197.22,188.88,194.44,2512817
2023-09-20 00:00:00,194.7,201.46,192.64,197.62,2132993
2023-09-21 00:00:00,196.96,201.34,195.12,199.0,1830432
2023-09-22 00:00:00,199.62,207.8,198.82,207.74,2176131
2023-09-25 00:00:00,208.0,208.5,201.24,202.32,1067805
2023-09-26 00:00:00,201.9,209.4,200.24,209.0,1769396
2023-09-27 00:00:00,209.46,209.9,205.4,207.36,968753
2023-09-28 00:00:00,207.36,211.0,206.04,209.5,1206483
2023-09-29 00:00:00,210.0,210.82,208.14,209.42,650310
2023-10-02 00:00:00,210.5,212.0,207.12,209.96,721180
2023-10-03 00:00:00,209.96,210.28,207.1,209.28,369069
2023-10-04 00:00:00,208.86,214.84,208.5,212.84,1314256
2023-10-05 00:00:00,212.84,214.4,209.58,210.88,662789
2023-10-06 00:00:00,210.8,212.9,208.2,212.28,488614
2023-10-09 00:00:00,212.28,212.7,208.84,209.72,462091
2023-10-10 00:00:00,210.0,210.3,205.3,207.72,632205
2023-10-11 00:00:00,207.72,208.82,200.56,201.36,1459597
2023-10-12 00:00:00,200.84,202.48,196.58,199.02,1311590
2023-10-13 00:00:00,199.94,200.98,196.1,198.44,851198
2023-10-16 00:00:00,199.2,200.36,197.84,200.3,560033
2023-10-17 00:00:00,200.6,202.0,199.08,199.56,533128
2023-10-18 00:00:00,199.96,200.38,196.2,197.56,632084
2023-10-19 00:00:00,197.5,197.84,194.26,197.0,811619
2023-10-20 00:00:00,197.02,198.26,194.48,197.22,565905
2023-10-23 00:00:00,197.46,198.9,193.56,194.22,465301
2023-10-24 00:00:00,194.04,195.5,192.8,194.46,520006
2023-10-25 00:00:00,194.44,194.44,191.52,191.68,511293
2023-10-26 00:00:00,191.64,196.0,191.22,192.1,823359
2023-10-27 00:00:00,192.1,193.58,190.2,191.5,448218
2023-10-30 00:00:00,191.5,194.2,190.4,192.14,349990
2023-10-31 00:00:00,191.76,193.4,189.12,189.76,377317
2023-11-01 00:00:00,190.1,191.18,188.7,189.16,346086
2023-11-02 00:00:00,189.36,189.98,187.22,187.5,389031
2023-11-03 00:00:00,187.74,195.0,185.54,194.2,1310854
2023-11-06 00:00:00,195.04,200.32,194.5,199.36,1189298
2023-11-07 00:00:00,199.1,199.46,196.5,196.86,683448
2023-11-08 00:00:00,196.86,197.6,193.7,194.6,517110
2023-11-09 00:00:00,194.6,197.42,194.0,195.44,503651
2023-11-10 00:00:00,196.0,196.14,194.58,195.3,290830
2023-11-13 00:00:00,195.5,198.68,195.02,195.94,353893
2023-11-14 00:00:00,196.28,196.28,189.88,191.22,503901
2023-11-15 00:00:00,191.1,192.92,188.0,190.94,336127
